lever_id,target_operator,secondary_operators,tier,reliability,category,sql_construct,prompt_hint,example_snippet,non_degenerate_note
rollup,GroupId,Aggregate,1,guaranteed,aggregation,GROUP BY ROLLUP,"Produce subtotals and a grand total with GROUP BY ROLLUP.","SELECT a, b, sum(v) FROM t GROUP BY ROLLUP (a, b)","Use two or more columns so the rollup has intermediate levels."
cube,GroupId,Aggregate,1,guaranteed,aggregation,GROUP BY CUBE,"Compute all-dimension combinations with GROUP BY CUBE.","SELECT a, b, sum(v) FROM t GROUP BY CUBE (a, b)","Use two or more columns."
distinct_multi_agg,MarkDistinct,Aggregate,2,conditional,aggregation,multiple DISTINCT aggregates,"Compute two or more DISTINCT aggregates on different columns in one query.","SELECT count(DISTINCT a), count(DISTINCT b) FROM t","Distinct columns must differ; strategy (MarkDistinct vs subqueries) is stats-chosen."
window_rank,Window,,1,guaranteed,window,ranking window function,"Add a ranking window function partitioned and ordered over a table.","SELECT k, rank() OVER (PARTITION BY g ORDER BY v DESC) AS r FROM t","Do NOT filter on the rank result (that would convert to TopNRanking)."
window_analytic,Window,,1,guaranteed,window,LAG/LEAD/running aggregate,"Add an analytic window function such as LAG, LEAD, or a running SUM over an ordered partition.","SELECT k, sum(v) OVER (PARTITION BY g ORDER BY d ROWS UNBOUNDED PRECEDING) AS rt FROM t","Include PARTITION BY and ORDER BY to force a real Window operator."
top_n_per_group,TopNRanking,Window,2,guaranteed,window,ranking + rank filter,"Return the top-k rows per group using a ranking window function filtered to rank<=k.","SELECT * FROM (SELECT k, row_number() OVER (PARTITION BY g ORDER BY v DESC) rn FROM t) WHERE rn <= 5","The rank<=k filter is what triggers TopNRanking; keep k small and constant."
row_number_unbounded,RowNumber,,1,guaranteed,window,ROW_NUMBER without rank filter,"Assign a global or partitioned ROW_NUMBER without any downstream rank filter.","SELECT k, row_number() OVER (ORDER BY v) AS rn FROM t","Must not be followed by a rn<=k filter (that yields TopNRanking instead)."
intersect,Intersect,Aggregate,1,guaranteed,set,INTERSECT,"Intersect the key sets of two subqueries with INTERSECT.","SELECT k FROM t_a INTERSECT SELECT k FROM t_b","Both sides must project the same column set."
except,Except,Aggregate,1,guaranteed,set,EXCEPT,"Subtract one key set from another with EXCEPT.","SELECT k FROM t_a EXCEPT SELECT k FROM t_b","Both sides must project the same column set."
union_distinct,Union,Aggregate,1,guaranteed,set,UNION (distinct),"Combine two selects with UNION (distinct) to force a dedup aggregate over the union.","SELECT k, v FROM t_a UNION SELECT k, v FROM t_b","Use UNION not UNION ALL so a distinct aggregate is added."
unnest,Unnest,Join,1,guaranteed,unnest,UNNEST,"Expand an array or map column with UNNEST joined to its parent row.","SELECT t.k, u.e FROM t CROSS JOIN UNNEST(t.arr) AS u(e)","Requires an array/map-typed column in the schema."
tablesample,Sample,,1,guaranteed,sample,TABLESAMPLE,"Sample a fraction of a table with TABLESAMPLE BERNOULLI.","SELECT * FROM big_table TABLESAMPLE BERNOULLI (10)","Apply to a base table reference; percentage between 0 and 100."
offset_fetch,Offset,TopN,1,guaranteed,limit,OFFSET with ORDER BY,"Page results with ORDER BY combined with OFFSET and FETCH/LIMIT.","SELECT k FROM t ORDER BY v OFFSET 20 LIMIT 10","OFFSET must be non-zero to retain the Offset operator."
recursive_cte,Union,Aggregate,1,conditional,cte,WITH RECURSIVE,"Traverse a hierarchy with a WITH RECURSIVE CTE (anchor UNION ALL recursive step).","WITH RECURSIVE r(k, lvl) AS (SELECT k, 0 FROM node WHERE parent IS NULL UNION ALL SELECT n.k, r.lvl+1 FROM node n JOIN r ON n.parent = r.k) SELECT * FROM r","Requires a self-referential parent/child relationship; bound recursion depth."
order_by_limit,TopN,,2,guaranteed,sort,ORDER BY + LIMIT,"Return the top rows by an ordering expression with ORDER BY plus LIMIT.","SELECT k, v FROM t ORDER BY v DESC LIMIT 20","ORDER BY and LIMIT together always merge into TopN."
